Date,Cyano,Green.Algae,Diatoms,Total.Conc,Reflection,Mesocosm.No,Pred.Treatment,Heat.Treatment,Treatment,Rep,Period
21/07/2019,0.34,0.25,0.98,1.57,15,5,Absent,Future,2,3,Initial
21/07/2019,0.49,0,1.28,1.77,10,6,Absent,Future,2,4,Initial
21/07/2019,0.46,0,1.76,2.22,16,7,Present,Future,1,3,Initial
21/07/2019,0.15,0.45,0.28,0.88,22,8,Present,Future,1,4,Initial
21/07/2019,0.38,0,1.2,1.58,17,9,Absent,Future,2,5,Initial
21/07/2019,0.26,0.2,0.94,1.4,17,10,Absent,Future,2,6,Initial
21/07/2019,0.47,0.37,1.6,2.44,12,11,Present,Future,1,5,Initial
21/07/2019,0.35,0,1.86,2.21,15,12,Present,Future,1,6,Initial
21/07/2019,0.61,0,2.06,2.67,13,13,Absent,Future,2,7,Initial
21/07/2019,0.35,0.1,1.31,1.76,15,14,Absent,Future,2,8,Initial
21/07/2019,0.56,0,2.21,2.77,16,15,Present,Future,1,7,Initial
21/07/2019,0.3,0.04,1.16,1.5,14,16,Present,Future,1,8,Initial
21/07/2019,0.12,0.15,0.2,0.47,24,17,Absent,Current,4,1,Initial
21/07/2019,0.33,0,1.12,1.45,14,18,Absent,Current,4,2,Initial
21/07/2019,0.29,0.28,1.6,2.17,18,19,Present,Current,3,1,Initial
21/07/2019,0.27,0,1.12,1.39,17,20,Present,Current,3,2,Initial
21/07/2019,0.28,0,1.08,1.36,3,21,Absent,Current,4,3,Initial
21/07/2019,0.34,0,1.32,1.66,7,22,Absent,Current,4,4,Initial
21/07/2019,0.33,0.3,0.85,1.48,16,23,Present,Current,3,3,Initial
21/07/2019,0.32,0,1.09,1.41,11,24,Present,Current,3,4,Initial
21/07/2019,0.34,0,1.24,1.58,6,25,Absent,Current,4,5,Initial
21/07/2019,0.14,0.2,0.36,0.7,21,26,Absent,Current,4,6,Initial
21/07/2019,0.37,0,1.67,2.04,4,27,Present,Current,3,5,Initial
21/07/2019,0.2,0.1,0.68,0.98,16,28,Present,Current,3,6,Initial
21/07/2019,0.55,0,2.91,3.46,3,29,Absent,Current,4,7,Initial
21/07/2019,0.39,0,1.2,1.59,13,30,Absent,Current,4,8,Initial
21/07/2019,0.19,0.04,0.72,0.95,17,31,Present,Current,3,7,Initial
21/07/2019,0.29,0.1,1.03,1.42,11,32,Present,Current,3,8,Initial
21/07/2019,0.43,0.06,1.58,2.07,9,33,Absent,Ambient,6,1,Ambient
21/07/2019,0.27,0.01,0.87,1.15,12,34,Absent,Ambient,6,2,Ambient
21/07/2019,0.29,0,1.1,1.39,15,35,Present,Ambient,5,1,Ambient
21/07/2019,0.21,0.23,0.61,1.05,18,36,Present,Ambient,5,2,Ambient
21/07/2019,0.23,0,0.66,0.89,5,37,Absent,Ambient,6,3,Ambient
21/07/2019,0.16,0.1,0.4,0.66,18,38,Absent,Ambient,6,4,Ambient
21/07/2019,0.24,0.03,0.56,0.83,18,39,Present,Ambient,5,3,Ambient
21/07/2019,0.21,0,0.66,0.87,15,40,Present,Ambient,5,4,Ambient
21/07/2019,0.18,0.04,0.52,0.74,8,41,Absent,Ambient,6,5,Ambient
21/07/2019,0.3,0,1.05,1.35,12,42,Absent,Ambient,6,6,Ambient
21/07/2019,0.27,0,0.8,1.07,9,43,Present,Ambient,5,5,Ambient
21/07/2019,0.28,0,1.72,2,3,44,Present,Ambient,5,6,Ambient
21/07/2019,0.34,0,1.16,1.5,9,45,Absent,Ambient,6,7,Ambient
21/07/2019,0.32,0,0.95,1.27,10,46,Absent,Ambient,6,8,Ambient
21/07/2019,0.33,0,1.29,1.62,6,47,Present,Ambient,5,7,Ambient
21/07/2019,0.23,0.14,0.61,0.98,16,48,Present,Ambient,5,8,Ambient
22/07/2019,0.19,0.32,0.51,1.02,17,1,Absent,Future,2,1,Initial
22/07/2019,0.2,0.33,0.36,0.89,20,2,Absent,Future,2,2,Initial
22/07/2019,0.21,0,1.94,2.15,4,3,Present,Future,1,1,Initial
22/07/2019,0.27,0,1.16,1.43,14,4,Present,Future,1,2,Initial
22/07/2019,0.24,0.22,0.57,1.03,13,5,Absent,Future,2,3,Initial
22/07/2019,0.49,0,1.07,1.56,10,6,Absent,Future,2,4,Initial
22/07/2019,0.35,0.04,1.31,1.7,16,7,Present,Future,1,3,Initial
22/07/2019,0.22,0.23,0.38,0.83,20,8,Present,Future,1,4,Initial
22/07/2019,0.4,0,1.13,1.53,16,9,Absent,Future,2,5,Initial
22/07/2019,0.25,0.17,0.77,1.19,16,10,Absent,Future,2,6,Initial
22/07/2019,0.48,0,1.33,1.81,15,11,Present,Future,1,5,Initial
22/07/2019,0.41,0,1.56,1.97,9,12,Present,Future,1,6,Initial
22/07/2019,0.41,0,1.37,1.78,13,13,Absent,Future,2,7,Initial
22/07/2019,0.3,0,0.89,1.19,15,14,Absent,Future,2,8,Initial
22/07/2019,0.39,0.04,1.04,1.47,20,15,Present,Future,1,7,Initial
22/07/2019,0.19,0.08,0.57,0.84,18,16,Present,Future,1,8,Initial
22/07/2019,0.12,0.17,0.23,0.52,26,17,Absent,Current,4,1,Initial
22/07/2019,0.48,0,1.24,1.72,10,18,Absent,Current,4,2,Initial
22/07/2019,0.33,0.12,0.95,1.4,13,19,Present,Current,3,1,Initial
22/07/2019,0.27,0.03,0.87,1.17,14,20,Present,Current,3,2,Initial
22/07/2019,0.23,0,1.58,1.81,1,21,Absent,Current,4,3,Initial
22/07/2019,0.21,0,1.38,1.59,9,22,Absent,Current,4,4,Initial
22/07/2019,0.44,0.2,1.2,1.84,13,23,Present,Current,3,3,Initial
22/07/2019,0.54,0,2.78,3.32,4,24,Present,Current,3,4,Initial
22/07/2019,0.34,0,1.24,1.58,4,25,Absent,Current,4,5,Initial
22/07/2019,0.19,0.19,0.4,0.78,20,26,Absent,Current,4,6,Initial
22/07/2019,0.36,0,1.97,2.33,4,27,Present,Current,3,5,Initial
22/07/2019,0.21,0.18,0.78,1.17,9,28,Present,Current,3,6,Initial
22/07/2019,0.36,0,2.11,2.47,6,29,Absent,Current,4,7,Initial
22/07/2019,0.33,0,1.21,1.54,5,30,Absent,Current,4,8,Initial
22/07/2019,0.25,0,1.25,1.5,15,31,Present,Current,3,7,Initial
22/07/2019,0.38,0,1.46,1.84,14,32,Present,Current,3,8,Initial
22/07/2019,0.4,0,1.79,2.19,8,33,Absent,Ambient,6,1,Ambient
22/07/2019,0.39,0,1.71,2.1,10,34,Absent,Ambient,6,2,Ambient
22/07/2019,0.34,0,1.5,1.84,11,35,Present,Ambient,5,1,Ambient
22/07/2019,0.32,0.05,1.48,1.85,14,36,Present,Ambient,5,2,Ambient
22/07/2019,0.26,0,0.86,1.12,3,37,Absent,Ambient,6,3,Ambient
22/07/2019,0.19,0.37,0.89,1.45,13,38,Absent,Ambient,6,4,Ambient
22/07/2019,0.25,0.15,0.7,1.1,13,39,Present,Ambient,5,3,Ambient
